,location,text
108,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
109,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
110,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
111,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
112,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
113,"New Jersey, USA",@BryanJFischer @POLITICOMag But I guess it's ok for trump the serial sexual predator to be defiling OUR White House.
114,"Florida, USA",Talks collapse on border deal as another Trump created U.S. government shutdown looms - Reuters https://t.co/k0CRKtoFrt
115,everywhere....,"@TheRoot Isn't Joy Villa the same person who accused Corey Lewandowski, Donald Trump's former campaign manager, of sexual harassment?"
116,Shores of Lake Erie,"Democrats CANNOT stand to Not have ALL The Power. 

They’re so afraid of President Trump’s Success. 

When they do… https://t.co/aW1zaSCBHx"
117,"Antártica Chilena, Magallanes y La Antártica Chilena","@sebastianpinera acabo de oírlo decir desde el norte , ""el cambio climático llego para quedarse"". Espero le refrend… https://t.co/PrXY8oohrW"
118,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
119,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
120,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
121,Boston,Green Day - Working Class Hero (Video) https://t.co/MT5iq3uNZI no more war... no more genocide... Hands off Venezue… https://t.co/TiUqnxyJg4
122,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
123,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
124,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
125,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
126,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
127,"New Jersey, USA",@BryanJFischer @POLITICOMag But I guess it's ok for trump the serial sexual predator to be defiling OUR White House.
128,"Florida, USA",Talks collapse on border deal as another Trump created U.S. government shutdown looms - Reuters https://t.co/k0CRKtoFrt
129,everywhere....,"@TheRoot Isn't Joy Villa the same person who accused Corey Lewandowski, Donald Trump's former campaign manager, of sexual harassment?"
130,Shores of Lake Erie,"Democrats CANNOT stand to Not have ALL The Power. 

They’re so afraid of President Trump’s Success. 

When they do… https://t.co/aW1zaSCBHx"
131,"Antártica Chilena, Magallanes y La Antártica Chilena","@sebastianpinera acabo de oírlo decir desde el norte , ""el cambio climático llego para quedarse"". Espero le refrend… https://t.co/PrXY8oohrW"
132,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
133,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
134,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
135,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
136,Boston,Green Day - Working Class Hero (Video) https://t.co/MT5iq3uNZI no more war... no more genocide... Hands off Venezue… https://t.co/TiUqnxyJg4
137,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
138,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
139,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
140,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
141,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
142,"New Jersey, USA",@BryanJFischer @POLITICOMag But I guess it's ok for trump the serial sexual predator to be defiling OUR White House.
143,"Florida, USA",Talks collapse on border deal as another Trump created U.S. government shutdown looms - Reuters https://t.co/k0CRKtoFrt
144,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
145,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
146,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
147,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
148,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
149,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
150,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
151,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
152,Boston,Green Day - Working Class Hero (Video) https://t.co/MT5iq3uNZI no more war... no more genocide... Hands off Venezue… https://t.co/TiUqnxyJg4
153,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
154,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
155,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
156,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
157,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
158,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
159,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
160,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
161,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
162,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
163,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
164,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
165,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
166,Boston,Green Day - Working Class Hero (Video) https://t.co/MT5iq3uNZI no more war... no more genocide... Hands off Venezue… https://t.co/TiUqnxyJg4
167,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
168,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
169,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
170,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
171,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
172,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
173,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
174,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
175,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
176,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
177,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
178,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
179,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
180,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
181,Boston,Green Day - Working Class Hero (Video) https://t.co/MT5iq3uNZI no more war... no more genocide... Hands off Venezue… https://t.co/TiUqnxyJg4
182,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
183,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
184,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
185,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
186,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
187,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
188,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
189,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
190,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
191,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
192,Boston,Green Day - Working Class Hero (Video) https://t.co/MT5iq3uNZI no more war... no more genocide... Hands off Venezue… https://t.co/TiUqnxyJg4
193,"Champaign, IL",Why? Why? Why? This is simply creating a new negotiating obstacle where one need not exist. Are Democrats so certai… https://t.co/7xG0ttbZwi
194,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
195,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
196,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
197,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
198,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
199,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
200,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
201,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
202,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
203,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
204,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
205,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
206,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
207,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
208,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
209,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
210,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
211,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
212,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
213,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
214,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
215,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
216,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
217,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
218,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
219,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
220,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
221,"Las Vegas, NV","@leftwardbound @yashar @sophcw Is Yashar getting paid by the Trump administration? 

This complete 180 from him the… https://t.co/4xwukZYakf"
222,"Distrito Federal, México",@eatorresdirosa ¿Vos estás de acuerdo con Guaidó aun con la inminente potestad de Trump?
223,Rocky Mountains,Democrats are drowning out Trump's tweets @CNN https://t.co/rO2opO1WNT twitter has the power to shut down Trump's a… https://t.co/gNvN579yA6
224,"The Milky Way Galaxy, Universe",Stalled shutdown negotiations back Trump into a corner - https://t.co/gCgelCuPiW via @_feedspot
225,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
226,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
227,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
228,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
229,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
230,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
231,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
232,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
233,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
234,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
235,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
236,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
237,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
238,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
239,"Alabama, USA",.@mattgaetz bio highlights Trump’s comments of him as “a machine...handsome and going places”. Matt doing Trump’s b… https://t.co/bqbZs3jXZW
240,Michigan - LosAngeles,The TRUMP’s are WHITE TRASH https://t.co/zuxnugW3dn
241,Vancouver & London/Upminster,@JimmyBear2 @anteksiler There is a 99% chance that anything that comes out of Trump’s mouth is very disturbing.
242,Texas,@hansonDigby @reesetheone1 @RachelBitecofer Same. I love Hillary. But Amy K (and many others!) Have BEEN saying thi… https://t.co/YGmju3ZyAj
243,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
244,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
245,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
246,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
247,"denver, co",First of all fuck Donald Trump for making my tax return less than it was last year even though I made big money this year .. that’s cool
248,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
249,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
250,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
251,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
252,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
253,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
254,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
255,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
256,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
257,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
258,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
259,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
260,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
261,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
262,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
263,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
264,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
265,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
266,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
267,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
268,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
269,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
270,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
271,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
272,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
273,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
274,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
275,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
276,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
277,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
278,#WALKFORWARD NOT AWAY!,@BeachCity55 @DailyMailCeleb Because The Winner Obamas are more popular than Donald Trump And Melania Trump. Intern… https://t.co/wQJds311Q4
279,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
280,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
281,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
282,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
283,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
284,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
285,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
286,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
287,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
288,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
289,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
290,"Grand Rapids, MI","lucie: say something that’ll piss me off 

swanson: donald trump is fit to be in office 

lucie: https://t.co/hAOkEzbunB"
291,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
292,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
293,"Ohio, USA",@kasie I think Klobuchar's comment to Trump qualifies as burning shade.  🔥🌫
294,"Boston, MA","Over the last few weeks, I have never been more proud to be a Democrat. We can finally choose a president from a fi… https://t.co/iiNjo9VJ9C"
295,USA,"@DollyParton @DLoesch No, thank you.  You didn't do you ""hate Trump"" skit again????"
296,"Huntsville, TX",@edzitron The end of the skit was worse. Trump said one thing and they all freaked out and started scrabbling and b… https://t.co/tp9SEhlwJN
297,East Coast,"@LiberalFenix Did Schiff find a chink in the armor of the mighty Mueller. Now, Trump’s real problems are coming fro… https://t.co/cNFKSeGpSK"
298,United States,@prayingmedic Rod had to stay he was painted into a corner. I never trusted him anywhere near POTUS was concerned.… https://t.co/imQybLpqp1
299,"New York, New York ","@qanon76 You nailed it to the tee &amp; Ucan't #Trump That! #WalkAway #BLEXIT frm @DNC &amp; #MAGA CHECK OUT NEW #QAnon SONG
https://t.co/Hg1zRY4q2Q"
300,The Jersey Shore,Chase shuts down personal bank account of proud outspoken Trump supporter. A jolting wake up call. https://t.co/V25YZyEDEM
301,"Washington, D.C.",Elizabeth Warren suggested Trump could soon be trading the White House for the big house. https://t.co/y5Mmq8FoxI via @HuffPostPol
302,"Indianapolis, IN","@Joy_Villa And yet you stole the art style of a band that is 100% opposed to Trump. 🤔

I guess it’s not shocking th… https://t.co/OvUX4NgNuF"
303,"California, USA",@In2watercolor @SusanKulstad @visgrrl @KimMart41721696 @kenolin1 @realDonaldTrump @FLOTUS 🤣 Trump has only accompli… https://t.co/Xa7Awp7MUv
304,"Boston, MA","Bravo....
This woman has real balls. I'm now a fan..
@Joy_Villa
https://t.co/M8rzEkZIvx #GRAMMYs #BuildTheWall… https://t.co/MAl3lFn8Yt"
305,"Nashville ,Tennessee ",@realDonaldTrump @SebGorka LMAO I just love our President Trump sense of humor
306,"Casa Grande, AZ",@medwoman1 @BlueTsuni @GreatTammie @McGeezer67 @zazzybritches @GDThor1 @HollyHuntley3 @nelsoneagle @Tonia8675309… https://t.co/aN8AVDnw8F
307,United States,@MichaelDeNigri1 @LeBomber05 @cassity_n @SebGorka @SpeakerPelosi @AOC @conservmillen @seanhannity @FoxNews… https://t.co/EHpy26bwRy
308,Tralfamador,@Conspiracy_dog @briantopping @slim_mirokujin @SharonBest2 @VicCervantes3 @TimSher38807557 @PersistOrg @ECHOVOICES… https://t.co/1qMLfj3zNc
